Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
4491,7.00,1.19,-11.69,0.20,1.99,9.59,-0.71,1.29,-1.48,0.00
4503,7.19,5.06,-11.25,0.86,1.90,9.58,0.73,-0.50,1.88,0.00
4516,7.31,7.56,-11.19,1.29,1.88,9.53,0.53,-0.22,2.77,0.00
4527,7.38,9.94,-11.12,1.70,1.87,9.47,-0.47,0.38,0.97,0.00
4539,7.50,12.31,-11.12,2.10,1.84,9.39,-0.86,0.49,0.18,0.00
4552,7.62,14.69,-11.00,2.49,1.81,9.31,-0.89,0.31,0.29,0.00
4563,8.19,18.62,-10.38,3.13,1.68,9.13,-0.92,0.12,-0.04,0.00
4577,8.50,20.00,-10.00,3.36,1.60,9.07,-0.74,0.14,0.52,0.00
4590,8.94,20.81,-9.50,3.49,1.52,9.03,0.16,0.37,0.72,0.00
4603,10.00,20.25,-8.50,3.40,1.36,9.09,1.61,0.17,0.41,0.00
4615,10.62,18.94,-8.06,3.18,1.31,9.18,2.06,0.13,-0.28,0.00
4626,11.19,17.00,-7.75,2.86,1.26,9.29,2.37,0.82,-0.49,0.00
4637,11.75,14.69,-7.50,2.48,1.24,9.40,2.79,0.54,-1.30,0.00
4648,12.31,12.19,-7.31,2.07,1.22,9.50,2.31,1.20,-1.03,0.00
4659,12.88,9.69,-7.12,1.65,1.20,9.59,2.82,0.80,0.11,0.00
4671,13.31,7.06,-6.88,1.21,1.16,9.66,3.68,0.52,2.97,0.00
4684,13.69,1.31,-5.69,0.22,0.97,9.75,4.17,1.21,4.44,0.00
4695,13.75,-1.88,-4.69,-0.32,0.80,9.76,4.40,1.22,4.18,0.00
4708,13.69,-5.31,-3.38,-0.91,0.57,9.74,3.62,1.19,1.88,0.00
4720,13.56,-8.81,-1.81,-1.50,0.31,9.68,3.35,0.72,0.19,0.00
